🐅 1F405 老虎
🐆 1F406 豹子
🐴 1F434 马头
🐎 1F40E 马
🦄 1F984 独角兽
🦓 1F993 斑马
🦌 1F98C 鹿
🦬 1F9AC 大野牛
🐮 1F42E 奶牛头
🐂 1F402 公牛
🐃 1F403 水牛
🐄 1F404 奶牛
🐷 1F437 猪头
🐖 1F416 猪
🐗 1F417 野猪
🐽 1F43D 猪鼻子
🐏 1F40F 公羊
🐑 1F411 母羊
🐐 1F410 山羊
🐪 1F42A 骆驼
🐫 1F42B 双峰骆驼
🦙 1F999 美洲鸵
🦒 1F992 长颈鹿
🐘 1F418 大象
🦣 1F9A3 猛犸
🦏 1F98F 犀牛
🦛 1F99B 河马
🐭 1F42D 老鼠头
🐁 1F401 老鼠
🐀 1F400 耗子
🐹 1F439 仓鼠
🐰 1F430 兔子头
🐇 1F407 兔子
🐿 1F43F 松鼠
🦫 1F9AB 海狸
🦔 1F994 刺猬
🦇 1F987 蝙蝠
🐻 1F43B 熊
🐻‍❄ 1F43B 200D 2744 北极熊
🐨 1F428 考拉
🐼 1F43C 熊猫
🦥 1F9A5 树懒
🦦 1F9A6 水獭
🦨 1F9A8 臭鼬
🦘 1F998 袋鼠
🦡 1F9A1 獾
🐾 1F43E 爪印
🦃 1F983 火鸡
🐔 1F414 鸡
🐓 1F413 公鸡
🐣 1F423 小鸡破壳
🐤 1F424 小鸡
🐥 1F425 正面朝向的小鸡
🐦 1F426 鸟
🐧 1F427 企鹅
🕊 1F54A 鸽
🦅 1F985 鹰
🦆 1F986 鸭子
🦢 1F9A2 天鹅
🦉 1F989 猫头鹰
🦤 1F9A4 渡渡鸟
🪶 1FAB6 羽毛
🦩 1F9A9 火烈鸟
🦚 1F99A 孔雀
🦜 1F99C 鹦鹉
🐸 1F438 青蛙
🐊 1F40A 鳄鱼
🐢 1F422 龟
🦎 1F98E 蜥蜴
🐍 1F40D 蛇
🐲 1F432 龙头
🐉 1F409 龙
🦕 1F995 蜥蜴类
🦖 1F996 霸王龙
🐳 1F433 喷水的鲸
🐋 1F40B 鲸鱼
🐬 1F42C 海豚
🦭 1F9AD 海豹
🐟 1F41F 鱼
🐠 1F420 热带鱼
🐡 1F421 河豚
🦈 1F988 鲨鱼
🐙 1F419 章鱼
🐚 1F41A 海螺
🐌 1F40C 蜗牛
🦋 1F98B 蝴蝶
🐛 1F41B 毛毛虫
🐜 1F41C 蚂蚁
🐝 1F41D 蜜蜂
🪲 1FAB2 甲虫
🐞 1F41E 瓢虫
🦗 1F997 蟋蟀
🪳 1FAB3 蟑螂
🕷 1F577 蜘蛛
🕸 1F578 蜘蛛网
🦂 1F982 蝎子
🦟 1F99F 蚊子
🪰 1FAB0 苍蝇
🪱 1FAB1 蠕虫
🦠 1F9A0 细菌
💐 1F490 花束
🌸 1F338 樱花
💮 1F4AE 白花
🏵 1F3F5 圆形花饰
🌹 1F339 玫瑰
🥀 1F940 枯萎的花
🌺 1F33A 芙蓉
🌻 1F33B 向日葵
🌼 1F33C 开花
🌷 1F337 郁金香
🌱 1F331 幼苗
🪴 1FAB4 盆栽植物
🌲 1F332 松树
🌳 1F333 落叶树
🌴 1F334 棕榈树
🌵 1F335 仙人掌
🌾 1F33E 稻子
🌿 1F33F 药草
☘ 2618 三叶草
🍀 1F340 四叶草
🍁 1F341 枫叶
🍂 1F342 落叶
🍃 1F343 风吹叶落
🍇 1F347 葡萄
🍈 1F348 甜瓜
🍉 1F349 西瓜
🍊 1F34A 橘子
🍋 1F34B 柠檬
🍌 1F34C 香蕉
🍍 1F34D 菠萝
🥭 1F96D 芒果
🍎 1F34E 红苹果
🍏 1F34F 青苹果
🍐 1F350 梨
🍑 1F351 桃
🍒 1F352 樱桃
🍓 1F353 草莓
🫐 1FAD0 蓝莓
🥝 1F95D 猕猴桃
🍅 1F345 西红柿
🫒 1FAD2 橄榄
🥥 1F965 椰子
🥑 1F951 鳄梨
🍆 1F346 茄子
🥔 1F954 土豆
🥕 1F955 胡萝卜
🌽 1F33D 玉米
🌶 1F336 红辣椒
🫑 1FAD1 灯笼椒
🥒 1F952 黄瓜
🥬 1F96C 绿叶蔬菜
🥦 1F966 西兰花
🧄 1F9C4 蒜
🧅 1F9C5 洋葱
🍄 1F344 蘑菇
🥜 1F95C 花生
🌰 1F330 栗子
🍞 1F35E 面包
🥐 1F950 羊角面包
